ProductId,SKU,Name,Brand,Category,Description,Price,SalePrice,Currency,Weight,WeightUnit,InStock,StockQuantity,Rating,ReviewCount,Color,Condition,Tags,ImageUrl,DateAdded
1,SKU-0001-841,Wireless Noise-Cancelling Headphones,CoreBliss,Electronics,"Immersive audio with adaptive noise cancellation and 30-hour battery life. Features Bluetooth 5.3, multipoint connection, and a foldable design for portability.",109.57,86.98,USD,14.97,kg,TRUE,444,4.7,1435,White,Open Box,new-arrival;premium,https://cdn.example.com/products/sku-0001-841.jpg,2025-07-09
2,SKU-0002-126,Smart LED Desk Lamp,VoltAge,Home & Garden,"Adjustable color temperature desk lamp with touch controls, USB charging port, and five brightness levels. Energy-efficient LED with 50,000-hour lifespan.",123.72,,USD,6.04,kg,TRUE,390,4.1,921,White,Open Box,clearance;staff-pick,https://cdn.example.com/products/sku-0002-126.jpg,2025-07-22
3,SKU-0003-794,Carbon Fiber Running Shoes,TrueNorth,Sports & Outdoors,Lightweight performance running shoes with carbon fiber plate for energy return. Breathable mesh upper and responsive cushioning for race day.,52.98,,USD,6.66,kg,FALSE,0,3.4,1217,Sand,New,gift-idea;new-arrival,https://cdn.example.com/products/sku-0003-794.jpg,2025-01-02
4,SKU-0004-969,Stainless Steel French Press,EcoVibe,Kitchen,Double-wall insulated French press brews 34oz of rich coffee. Made from 18/10 stainless steel with a precision 4-level filtration system.,246.61,,USD,3.47,kg,FALSE,0,4.7,191,Black,Open Box,budget,https://cdn.example.com/products/sku-0004-969.jpg,2025-09-16
5,SKU-0005-109,Organic Face Serum,SkyBound,Health & Beauty,"Hydrating face serum with hyaluronic acid, vitamin C, and rosehip oil. Dermatologist tested, suitable for all skin types. 30ml dropper bottle.",20.53,,USD,6.28,kg,FALSE,0,3.9,199,Silver,New,clearance;trending;new-arrival;budget,https://cdn.example.com/products/sku-0005-109.jpg,2025-09-28
6,SKU-0006-658,Magnetic Building Blocks Set,PeakLine,Toys & Games,"150-piece magnetic construction set with tiles, wheels, and connectors. STEM-approved educational toy for ages 3 and up. BPA-free materials.",211.02,185.06,USD,10.71,kg,FALSE,0,3.4,1378,Sand,Open Box,staff-pick;clearance,https://cdn.example.com/products/sku-0006-658.jpg,2025-02-04
7,SKU-0007-377,Portable Jump Starter,PeakLine,Automotive,2000A peak car jump starter with built-in air compressor. Powers vehicles up to 8.0L gas engines. Includes USB-C PD charging and LED flashlight.,282.56,256.01,USD,6.96,kg,FALSE,0,4.6,2269,Black,Refurbished,premium;new-arrival;eco-friendly;limited-edition,https://cdn.example.com/products/sku-0007-377.jpg,2025-01-03
8,SKU-0008-585,Ergonomic Mesh Office Chair,SkyBound,Office Supplies,"Adjustable lumbar support office chair with breathable mesh back, 4D armrests, and tilt lock. Supports up to 300 lbs with a 5-year warranty.",61.08,,USD,11.03,kg,TRUE,458,4.0,1172,Pearl,Refurbished,staff-pick;eco-friendly;new-arrival,https://cdn.example.com/products/sku-0008-585.jpg,2025-11-17
9,SKU-0009-245,Automatic Pet Feeder,UrbanEdge,Pet Supplies,"WiFi-enabled pet feeder with programmable meal schedule, portion control, and voice recording. Holds up to 6L of dry food. App-controlled.",79.77,64.58,USD,1.21,kg,FALSE,0,4.9,1835,Silver,Refurbished,bestseller;premium;trending;new-arrival,https://cdn.example.com/products/sku-0009-245.jpg,2025-12-15
10,SKU-0010-393,Merino Wool Base Layer,CoreBliss,Clothing,Ultra-soft 100% merino wool thermal top with flatlock seams. Naturally odor-resistant and moisture-wicking. Perfect for layering in cold weather.,60.06,,USD,6.41,kg,FALSE,0,3.6,534,Midnight Blue,Open Box,limited-edition;new-arrival;gift-idea,https://cdn.example.com/products/sku-0010-393.jpg,2025-09-09
11,SKU-0011-863,4K Action Camera,UrbanEdge,Electronics,Waterproof action camera shooting 4K/60fps with electronic image stabilization. Includes underwater housing rated to 40m and dual microphones.,236.21,,USD,10.08,kg,TRUE,348,4.4,1577,Silver,New,premium;clearance;eco-friendly,https://cdn.example.com/products/sku-0011-863.jpg,2025-05-08
12,SKU-0012-919,Indoor Herb Garden Kit,PrimeCraft,Home & Garden,"Self-watering indoor garden with LED grow lights and 6 pod slots. Includes basil, cilantro, and parsley seed kits. Automated light timer.",235.21,178.03,USD,14.19,kg,TRUE,298,4.3,675,Midnight Blue,New,limited-edition;trending,https://cdn.example.com/products/sku-0012-919.jpg,2025-05-27
13,SKU-0013-583,Yoga Mat with Alignment Lines,UrbanEdge,Sports & Outdoors,6mm thick non-slip yoga mat with printed alignment guides. Made from natural tree rubber with a microfiber suede surface.,211.48,,USD,5.46,kg,FALSE,0,3.5,1922,Forest Green,Open Box,trending,https://cdn.example.com/products/sku-0013-583.jpg,2025-09-23
14,SKU-0014-136,Cast Iron Dutch Oven,UrbanEdge,Kitchen,"6-quart enameled cast iron Dutch oven for slow cooking, braising, and baking. Oven-safe to 500°F with self-basting lid. Lifetime warranty.",111.14,92.07,USD,2.24,kg,TRUE,75,3.6,1517,Pearl,Refurbished,new-arrival;clearance;eco-friendly;budget,https://cdn.example.com/products/sku-0014-136.jpg,2025-09-26
15,SKU-0015-751,Electric Toothbrush,SkyBound,Health & Beauty,"Sonic toothbrush with 5 cleaning modes, pressure sensor, and smart timer. Includes 3 brush heads and wireless charging travel case. 30-day battery.",240.96,,USD,0.67,kg,FALSE,0,3.9,433,Forest Green,Open Box,premium;budget;eco-friendly;limited-edition,https://cdn.example.com/products/sku-0015-751.jpg,2025-04-21
16,SKU-0016-179,Remote Control Racing Drone,EcoVibe,Toys & Games,"FPV racing drone with 720p camera, acrobatic flip mode, and 15-minute flight time. Includes 2 batteries and beginner-friendly altitude hold.",42.15,,USD,2.96,kg,TRUE,228,3.4,684,Pearl,Refurbished,eco-friendly;budget,https://cdn.example.com/products/sku-0016-179.jpg,2025-09-26
17,SKU-0017-487,Dash Cam with Night Vision,ZenithPro,Automotive,"Front and rear dual dash cam with 2K resolution, night vision, and GPS logging. Loop recording with G-sensor for automatic incident capture.",206.95,,USD,14.72,kg,TRUE,229,4.1,2158,Pearl,New,budget;trending;eco-friendly,https://cdn.example.com/products/sku-0017-487.jpg,2025-05-02
18,SKU-0018-433,Standing Desk Converter,TrueNorth,Office Supplies,Height-adjustable desk riser with gas spring lift. Fits dual monitors and keyboard. Converts any desk to a sit-stand workstation in seconds.,244.26,181.52,USD,12.88,kg,TRUE,235,3.2,1249,Forest Green,Open Box,premium,https://cdn.example.com/products/sku-0018-433.jpg,2025-03-08
19,SKU-0019-498,GPS Dog Collar,EcoVibe,Pet Supplies,"Real-time GPS tracking collar with geofence alerts and activity monitoring. Waterproof IP67, rechargeable battery lasts up to 7 days.",242.79,177.81,USD,4.44,kg,TRUE,255,4.9,2070,White,Open Box,limited-edition;clearance;premium,https://cdn.example.com/products/sku-0019-498.jpg,2025-06-27
20,SKU-0020-228,Down Puffer Jacket,ZenithPro,Clothing,800-fill-power goose down jacket with water-resistant shell. Packable into its own pocket. Available in men's and women's fits.,74.17,,USD,7.81,kg,FALSE,0,3.6,2254,White,Open Box,staff-pick,https://cdn.example.com/products/sku-0020-228.jpg,2025-04-20
21,SKU-0021-530,Bluetooth Mechanical Keyboard,VoltAge,Electronics,"Hot-swappable mechanical keyboard with RGB backlighting and tri-mode connectivity. Aluminum frame, PBT keycaps, and 4000mAh battery.",140.52,,USD,2.43,kg,FALSE,0,4.7,1021,Sand,Refurbished,clearance,https://cdn.example.com/products/sku-0021-530.jpg,2025-03-18
22,SKU-0022-642,Solar Garden Path Lights,TrueNorth,Home & Garden,"Set of 8 solar-powered pathway lights with warm white LEDs. Stainless steel construction, automatic dusk-to-dawn operation.",170.48,,USD,6.35,kg,FALSE,0,3.6,1449,Pearl,New,staff-pick;bestseller;limited-edition;trending,https://cdn.example.com/products/sku-0022-642.jpg,2025-08-23
23,SKU-0023-603,Insulated Water Bottle,VoltAge,Sports & Outdoors,"32oz vacuum-insulated stainless steel bottle keeps drinks cold 24hrs or hot 12hrs. Wide mouth, leak-proof lid, fits most cup holders.",186.11,,USD,6.21,kg,TRUE,127,4.7,167,Navy,New,new-arrival;eco-friendly;premium,https://cdn.example.com/products/sku-0023-603.jpg,2025-06-05
24,SKU-0024-792,Air Fryer Oven Combo,UrbanEdge,Kitchen,12-quart air fryer toaster oven with 10 cooking presets. Rapid air circulation for crispy results with up to 85% less oil.,112.83,,USD,0.77,kg,TRUE,221,4.6,278,Charcoal,New,limited-edition;budget;new-arrival;clearance,https://cdn.example.com/products/sku-0024-792.jpg,2025-05-08
25,SKU-0025-880,Retinol Night Cream,VoltAge,Health & Beauty,"Anti-aging night cream with encapsulated retinol, peptides, and squalane. Fragrance-free formula reduces fine lines and improves skin texture.",98.35,70.56,USD,1.54,kg,TRUE,279,4.5,1397,Sand,Refurbished,staff-pick;new-arrival,https://cdn.example.com/products/sku-0025-880.jpg,2025-07-14
26,SKU-0026-138,Wooden Train Set,ZenithPro,Toys & Games,"100-piece wooden railway set with bridges, tunnels, and buildings. Compatible with all major brand tracks. FSC-certified beechwood.",270.37,,USD,8.76,kg,FALSE,0,3.0,1888,Pearl,Open Box,new-arrival;clearance;premium,https://cdn.example.com/products/sku-0026-138.jpg,2025-03-10
27,SKU-0027-523,Tire Pressure Monitoring System,CoreBliss,Automotive,Wireless TPMS with solar-powered display showing real-time pressure and temperature for all 4 tires. Easy DIY installation.,150.83,138.44,USD,11.15,kg,FALSE,0,3.7,2496,Slate Gray,New,staff-pick;trending;gift-idea,https://cdn.example.com/products/sku-0027-523.jpg,2025-02-04
28,SKU-0028-744,Noise-Cancelling Earbuds,VoltAge,Office Supplies,ANC earbuds designed for open offices with transparency mode and 8-hour battery. IPX4 water-resistant with multipoint Bluetooth.,168.99,,USD,8.65,kg,TRUE,315,3.1,1346,Black,Refurbished,gift-idea,https://cdn.example.com/products/sku-0028-744.jpg,2025-01-21
29,SKU-0029-685,Interactive Cat Toy,VoltAge,Pet Supplies,"Automatic laser pointer toy with random patterns and adjustable speed. Timer settings for 15, 30, or 60 minutes. Battery-powered.",81.66,,USD,10.59,kg,TRUE,7,3.4,693,Charcoal,Refurbished,gift-idea;limited-edition,https://cdn.example.com/products/sku-0029-685.jpg,2025-12-26
30,SKU-0030-758,Linen Blend Blazer,TrueNorth,Clothing,Unstructured linen-cotton blazer with patch pockets and half-canvas construction. Relaxed fit perfect for warm-weather business casual.,133.74,117.68,USD,8.83,kg,TRUE,385,4.4,1016,Sand,Refurbished,bestseller;gift-idea;staff-pick,https://cdn.example.com/products/sku-0030-758.jpg,2025-07-08
31,SKU-0031-761,Portable Projector,ZenithPro,Electronics,"1080p LED projector with Android TV built-in, auto keystone correction, and 200 ANSI lumens. Battery-powered with 3-hour playback.",50.95,38.24,USD,5.86,kg,FALSE,0,4.4,1115,Navy,Refurbished,trending;limited-edition,https://cdn.example.com/products/sku-0031-761.jpg,2025-06-04
32,SKU-0032-842,Robot Vacuum Cleaner,SkyBound,Home & Garden,"LiDAR navigation robot vacuum with mopping function. 5000Pa suction, auto-empty dock, and app-controlled no-go zones.",253.05,,USD,3.14,kg,FALSE,0,3.2,1863,Silver,Refurbished,eco-friendly;new-arrival;limited-edition,https://cdn.example.com/products/sku-0032-842.jpg,2025-01-28
33,SKU-0033-438,Resistance Bands Set,PeakLine,Sports & Outdoors,Set of 5 fabric resistance bands with varying tension levels. Non-slip design with carrying bag. Includes exercise guide.,289.36,220.73,USD,12.57,kg,FALSE,0,3.5,240,Silver,Refurbished,trending,https://cdn.example.com/products/sku-0033-438.jpg,2025-02-23
34,SKU-0034-977,Espresso Machine,VoltAge,Kitchen,"Semi-automatic espresso machine with 15-bar pump, PID temperature control, and built-in grinder. Makes espresso, cappuccino, and latte.",169.97,,USD,10.06,kg,TRUE,357,3.8,2429,Charcoal,Refurbished,limited-edition;premium,https://cdn.example.com/products/sku-0034-977.jpg,2025-09-16
35,SKU-0035-100,Sunscreen SPF 50,VoltAge,Health & Beauty,"Mineral sunscreen with zinc oxide, reef-safe formula. Lightweight, non-greasy finish with antioxidant protection. 100ml tube.",140.82,,USD,12.69,kg,TRUE,448,3.3,1786,Black,Open Box,trending;bestseller;limited-edition,https://cdn.example.com/products/sku-0035-100.jpg,2025-09-13
36,SKU-0036-602,Coding Robot for Kids,ZenithPro,Toys & Games,Programmable robot teaching coding basics through block-based and Python programming. 150+ activities with sensors and LED matrix.,125.27,,USD,8.12,kg,FALSE,0,3.1,221,Silver,Open Box,bestseller;budget;staff-pick;trending,https://cdn.example.com/products/sku-0036-602.jpg,2025-05-19
37,SKU-0037-898,Car Phone Mount,ZenithPro,Automotive,Magnetic car phone mount with MagSafe compatibility. Mounts to dashboard or air vent. 360-degree rotation with one-hand operation.,25.18,,USD,8.89,kg,FALSE,0,4.6,1032,Navy,Refurbished,eco-friendly;gift-idea;trending,https://cdn.example.com/products/sku-0037-898.jpg,2025-10-24
38,SKU-0038-864,Whiteboard Wall Calendar,CoreBliss,Office Supplies,"Magnetic dry-erase monthly calendar with marker tray. 36x24 inches, mounts to wall or cubicle. Includes 4 markers and eraser.",187.4,161.68,USD,0.54,kg,TRUE,20,3.8,1019,Silver,Open Box,staff-pick;gift-idea,https://cdn.example.com/products/sku-0038-864.jpg,2025-06-20
39,SKU-0039-143,Elevated Dog Bed,PrimeCraft,Pet Supplies,"Breathable mesh elevated pet bed with steel frame. Indoor/outdoor use, supports up to 100 lbs. Easy assembly, no tools required.",209.25,171.24,USD,8.6,kg,TRUE,105,4.8,1123,Silver,New,clearance;budget;premium,https://cdn.example.com/products/sku-0039-143.jpg,2025-11-04
40,SKU-0040-641,Cashmere Crew Neck Sweater,PrimeCraft,Clothing,"100% Grade-A Mongolian cashmere sweater with ribbed cuffs and hem. Lightweight yet warm, available in 12 classic colors.",31.58,,USD,8.55,kg,TRUE,392,3.4,1708,White,Open Box,premium;clearance;limited-edition,https://cdn.example.com/products/sku-0040-641.jpg,2025-03-11
41,SKU-0041-978,Smart Home Hub,ZenithPro,Electronics,"Matter-compatible smart home hub with Thread and Zigbee radios. Controls lights, locks, thermostats, and cameras from one app.",183.03,,USD,13.26,kg,TRUE,256,4.8,1041,Pearl,New,clearance;gift-idea,https://cdn.example.com/products/sku-0041-978.jpg,2025-10-03
42,SKU-0042-810,Compost Tumbler,UrbanEdge,Home & Garden,Dual-chamber 43-gallon compost tumbler with internal mixing bars. BPA-free recycled plastic. Produces compost in 4-6 weeks.,189.35,170.06,USD,12.72,kg,FALSE,0,3.8,661,Midnight Blue,New,eco-friendly;staff-pick;gift-idea;new-arrival,https://cdn.example.com/products/sku-0042-810.jpg,2025-06-21
43,SKU-0043-293,Foam Roller Set,UrbanEdge,Sports & Outdoors,"3-piece recovery set with textured foam roller, massage ball, and muscle roller stick. High-density EVA foam, includes tutorial poster.",292.53,,USD,9.93,kg,TRUE,427,4.8,1797,Forest Green,New,premium;clearance,https://cdn.example.com/products/sku-0043-293.jpg,2025-10-02
44,SKU-0044-880,Knife Sharpening System,SkyBound,Kitchen,"Professional knife sharpener with 4 angle settings and diamond-coated whetstones. Sharpens kitchen knives, pocket knives, and scissors.",53.24,43.1,USD,4.6,kg,FALSE,0,4.8,2388,Black,New,new-arrival,https://cdn.example.com/products/sku-0044-880.jpg,2025-12-20
45,SKU-0045-868,Beard Grooming Kit,TrueNorth,Health & Beauty,"Complete beard care set with organic oil, balm, wash, wooden comb, and boar bristle brush. Scented with cedarwood and sandalwood.",264.99,,USD,0.34,kg,TRUE,148,4.9,2449,Slate Gray,Refurbished,limited-edition;gift-idea;staff-pick;new-arrival,https://cdn.example.com/products/sku-0045-868.jpg,2025-10-23
46,SKU-0046-713,Strategy Board Game,EcoVibe,Toys & Games,Euro-style strategy game for 2-5 players about building trade routes across ancient civilizations. Average play time 90 minutes. Ages 12+.,51.58,,USD,6.6,kg,TRUE,495,3.3,1633,Pearl,Open Box,limited-edition,https://cdn.example.com/products/sku-0046-713.jpg,2025-01-22
47,SKU-0047-959,LED Headlight Bulbs,NovaTech,Automotive,6000K bright white LED headlight conversion kit with CAN-bus compatibility. 300% brighter than halogen. Plug-and-play installation.,30.51,22.53,USD,5.14,kg,TRUE,441,3.7,302,Slate Gray,Refurbished,eco-friendly;budget,https://cdn.example.com/products/sku-0047-959.jpg,2025-05-15
48,SKU-0048-977,Document Scanner,PrimeCraft,Office Supplies,"Duplex document scanner processing 40 pages per minute. Auto-feed tray holds 50 sheets. Scans to PDF, searchable PDF, and cloud.",54.32,40.88,USD,12.63,kg,TRUE,60,3.3,1218,Silver,New,budget;eco-friendly,https://cdn.example.com/products/sku-0048-977.jpg,2025-04-28
49,SKU-0049-672,Aquarium Filter System,VoltAge,Pet Supplies,"3-stage canister filter for tanks up to 75 gallons. Mechanical, chemical, and biological filtration with self-priming pump. Ultra-quiet.",125.27,99.85,USD,12.06,kg,TRUE,36,3.8,1452,Black,Open Box,trending;limited-edition,https://cdn.example.com/products/sku-0049-672.jpg,2025-10-28
